hr,name,flamsteed,bayer,bayer_sup,cst,hd,sao,var_id,ra_deg_j2000,dec_deg_j2000,vmag,vmag_code,b_v,sp_type,pm_ra_arcsec,pm_de_arcsec,parallax_arcsec,is_ghost
3722,,,,,,80953,14875,,141.434167,63.940833,6.28,,1.46,K2III,-0.008,-0.041,,false
3723,,,,,,80956,80797,,140.8825,25.183056,6.41,,0.82,G5IV,-0.121,0.005,,false
3724,,,,,,81009,136799,KU Hya,140.712083,-9.838889,6.53,,0.22,A5pSrCrEu,-0.027,-0.021,,false
3725,,,,,,81025,27246,,141.232083,51.573889,6.31,,0.75,G2III,0.041,-0.005,,false
3726,,,,,,81034,221103,,140.462083,-42.195,5.58,,1.63,M1III,0.053,-0.06,,false
3727,,,,,,81039,61456,,141.09375,36.586944,6.67,,0.21,F0V,-0.068,-0.024,,false
3728,,,,,,81101,250544,,140.236667,-62.404722,4.81,,0.94,G6III,-0.013,0.002,0.017,false
3729,,,,,,81134,200299,,140.652917,-39.774722,6.54,,1.13,K1III,-0.063,0.074,,false
3730,,,,,,81136,221109,4473,140.6,-46.0475,5.75,,0.92,G6-8III,0.004,0.027,,false
3731,  1Kap Leo,1,Kap,,Leo,81146,80807,4478,141.16375,26.182222,4.46,,1.23,K2III,-0.033,-0.048,-0.003,false
3732,,,,,,81157,236887,,140.458333,-55.515,5.63,,0.19,A3IV s:,-0.065,0.06,,false
3733,   Lam Pyx,,Lam,,Pyx,81169,177374,,140.80125,-28.833889,4.69,,0.92,G8.5IIICN-1.5*,-0.123,0.019,0.038,false
3734,   Kap Vel,,Kap,,Vel,81188,236891,,140.528333,-55.010833,2.5,,-0.18,B2IV-V,-0.008,0.009,0.013,false
3735,,,,,,81309,200320,,140.936667,-37.757222,6.48,,0.18,A1mA5-F0,-0.083,0.017,,false
3736,,,,,,81361,98561,,141.385417,16.585556,6.29,,0.97,gG9,-0.084,-0.025,0.016,false
3737,,,,,,81411,200330,,141.067917,-39.425833,6.06,,0.2,A7V:,0.012,-0.036,,false
3738, 28    Hya,28,,,Hya,81420,136832,,141.35,-5.1175,5.59,,1.52,K5III,-0.012,-0.008,,false
